[2017-02-08 15:11:54] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: MainThread output msg:  * Running on http://0.0.0.0:80/ (Press CTRL+C to quit)
[2017-02-08 15:11:54] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-1 output msg: 127.0.0.1 - - [08/Feb/2017 15:11:54] "GET /static/images/avatar/default/7.png HTTP/1.1" 200 -
[2017-02-08 15:11:56] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-2 output msg: 127.0.0.1 - - [08/Feb/2017 15:11:56] "GET /observer HTTP/1.1" 200 -
[2017-02-08 15:11:57] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-5 output msg: 127.0.0.1 - - [08/Feb/2017 15:11:57] "GET /static/scripts/dataManage/dm.cloudPoint.js HTTP/1.1" 200 -
[2017-02-08 15:11:57] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-3 output msg: 127.0.0.1 - - [08/Feb/2017 15:11:57] "GET /static/scripts/dataManage/dm.exportData.js HTTP/1.1" 200 -
[2017-02-08 15:11:57] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-4 output msg: 127.0.0.1 - - [08/Feb/2017 15:11:57] "GET /static/scripts/dataManage/dm.cloudSheet.js HTTP/1.1" 200 -
[2017-02-08 15:11:57] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-6 output msg: 127.0.0.1 - - [08/Feb/2017 15:11:57] "GET /static/scripts/dataManage/dm.alarm.js HTTP/1.1" 200 -
[2017-02-08 15:11:57] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-7 output msg: 127.0.0.1 - - [08/Feb/2017 15:11:57] "GET /static/scripts/dataManage/dm.diagnosis.js HTTP/1.1" 200 -
[2017-02-08 15:11:57] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-8 output msg: 127.0.0.1 - - [08/Feb/2017 15:11:57] "GET /static/scripts/dataManage/dm.diagnosis.historyChart.js HTTP/1.1" 200 -
[2017-02-08 15:11:57] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-9 output msg: 127.0.0.1 - - [08/Feb/2017 15:11:57] "GET /static/scripts/dataManage/dm.tag.panel.js HTTP/1.1" 200 -
[2017-02-08 15:11:57] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-10 output msg: 127.0.0.1 - - [08/Feb/2017 15:11:57] "GET /static/views/js/i18n/zh.js?_=1486537916820 HTTP/1.1" 200 -
[2017-02-08 15:11:57] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-11 output msg: 127.0.0.1 - - [08/Feb/2017 15:11:57] "GET /static/scripts/dataManage/dm.tag.keywords.js HTTP/1.1" 200 -
[2017-02-08 15:11:57] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-12 output msg: 127.0.0.1 - - [08/Feb/2017 15:11:57] "GET /static/scripts/observer/widgets/historyDragPanel.js HTTP/1.1" 200 -
[2017-02-08 15:11:58] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-13 output msg: 127.0.0.1 - - [08/Feb/2017 15:11:58] "GET /static/scripts/workflow2.0/workflowInsert.js HTTP/1.1" 200 -
[2017-02-08 15:11:58] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-16 output msg: 127.0.0.1 - - [08/Feb/2017 15:11:58] "GET /static/scripts/workflow2.0/wf.apiMap.js HTTP/1.1" 200 -
[2017-02-08 15:11:58] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-17 output msg: 127.0.0.1 - - [08/Feb/2017 15:11:58] "GET /static/scripts/workflow2.0/wf.data.js HTTP/1.1" 200 -
[2017-02-08 15:11:58] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-18 output msg: 127.0.0.1 - - [08/Feb/2017 15:11:58] "GET /static/scripts/workflow2.0/wf.fake.js HTTP/1.1" 200 -
[2017-02-08 15:11:58] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-14 output msg: 127.0.0.1 - - [08/Feb/2017 15:11:58] "GET /static/scripts/workflow2.0/workflowRemind.js HTTP/1.1" 200 -
[2017-02-08 15:11:58] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-15 output msg: 127.0.0.1 - - [08/Feb/2017 15:11:58] "GET /static/scripts/workflow2.0/wf.feedback.js HTTP/1.1" 200 -
[2017-02-08 15:11:58] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-19 output msg: 127.0.0.1 - - [08/Feb/2017 15:11:58] "GET /static/scripts/workflow2.0/wf.debug.js HTTP/1.1" 200 -
[2017-02-08 15:11:58] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-20 output msg: 127.0.0.1 - - [08/Feb/2017 15:11:58] "GET /static/scripts/workflow2.0/wf.eventPubsub.js HTTP/1.1" 200 -
[2017-02-08 15:11:58] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-22 output msg: 127.0.0.1 - - [08/Feb/2017 15:11:58] "GET /static/scripts/workflow2.0/wf.constants.js HTTP/1.1" 200 -
[2017-02-08 15:11:58] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-21 output msg: 127.0.0.1 - - [08/Feb/2017 15:11:58] "GET /static/scripts/workflow2.0/wf.util.js HTTP/1.1" 200 -
[2017-02-08 15:11:58] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-24 output msg: 127.0.0.1 - - [08/Feb/2017 15:11:58] "GET /static/scripts/workflow2.0/wf.view.menu.js HTTP/1.1" 200 -
[2017-02-08 15:11:58] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-23 output msg: 127.0.0.1 - - [08/Feb/2017 15:11:58] "GET /static/scripts/workflow2.0/wf.model.js HTTP/1.1" 200 -
[2017-02-08 15:11:59] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-26 output msg: 127.0.0.1 - - [08/Feb/2017 15:11:59] "GET /static/scripts/workflow2.0/wf.view.teamTagsCurd.js HTTP/1.1" 200 -
[2017-02-08 15:11:59] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-25 output msg: 127.0.0.1 - - [08/Feb/2017 15:11:59] "GET /static/scripts/workflow2.0/wf.view.teamStructure.js HTTP/1.1" 200 -
[2017-02-08 15:11:59] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-27 output msg: 127.0.0.1 - - [08/Feb/2017 15:11:59] "GET /static/scripts/workflow2.0/wf.view.activities.js HTTP/1.1" 200 -
[2017-02-08 15:11:59] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-29 output msg: 127.0.0.1 - - [08/Feb/2017 15:11:59] "GET /static/scripts/workflow2.0/wf.view.groupShow.js HTTP/1.1" 200 -
[2017-02-08 15:11:59] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-28 output msg: 127.0.0.1 - - [08/Feb/2017 15:11:59] "GET /static/scripts/workflow2.0/wf.view.taskList.js HTTP/1.1" 200 -
[2017-02-08 15:11:59] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-30 output msg: 127.0.0.1 - - [08/Feb/2017 15:11:59] "GET /static/scripts/workflow2.0/wf.view.groupAdd.js HTTP/1.1" 200 -
[2017-02-08 15:11:59] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-31 output msg: 127.0.0.1 - - [08/Feb/2017 15:11:59] "GET /static/scripts/workflow2.0/wf.view.groupDelete.js HTTP/1.1" 200 -
[2017-02-08 15:11:59] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-32 output msg: 127.0.0.1 - - [08/Feb/2017 15:11:59] "GET /static/scripts/workflow2.0/wf.view.faultCurve.js HTTP/1.1" 200 -
[2017-02-08 15:11:59] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-33 output msg: 127.0.0.1 - - [08/Feb/2017 15:11:59] "GET /static/scripts/workflow2.0/wf.view.replyList.js HTTP/1.1" 200 -
[2017-02-08 15:11:59] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-34 output msg: 127.0.0.1 - - [08/Feb/2017 15:11:59] "GET /static/scripts/workflow2.0/wf.view.progress.js HTTP/1.1" 200 -
[2017-02-08 15:11:59] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-35 output msg: 127.0.0.1 - - [08/Feb/2017 15:11:59] "GET /static/scripts/workflow2.0/wf.view.groupEdit.js HTTP/1.1" 200 -
[2017-02-08 15:11:59] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-36 output msg: 127.0.0.1 - - [08/Feb/2017 15:11:59] "GET /static/scripts/workflow2.0/wf.view.menu.groupList.js HTTP/1.1" 200 -
[2017-02-08 15:11:59] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-37 output msg: 127.0.0.1 - - [08/Feb/2017 15:11:59] "GET /static/scripts/workflow2.0/wf.view.menu.labelList.js HTTP/1.1" 200 -
[2017-02-08 15:11:59] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-38 output msg: 127.0.0.1 - - [08/Feb/2017 15:11:59] "GET /static/scripts/workflow2.0/wf.view.taskTeam.js HTTP/1.1" 200 -
[2017-02-08 15:11:59] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-39 output msg: 127.0.0.1 - - [08/Feb/2017 15:11:59] "GET /static/scripts/workflow2.0/wf.view.teamProcess.js HTTP/1.1" 200 -
[2017-02-08 15:11:59] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-41 output msg: 127.0.0.1 - - [08/Feb/2017 15:11:59] "GET /static/scripts/workflow2.0/wf.view.task.js HTTP/1.1" 200 -
[2017-02-08 15:11:59] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-42 output msg: 127.0.0.1 - - [08/Feb/2017 15:11:59] "GET /static/scripts/workflow2.0/wf.main.js HTTP/1.1" 200 -
[2017-02-08 15:11:59] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-40 output msg: 127.0.0.1 - - [08/Feb/2017 15:11:59] "GET /static/scripts/workflow2.0/workflowCalendar.js HTTP/1.1" 200 -
[2017-02-08 15:12:00] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-43 output msg: 127.0.0.1 - - [08/Feb/2017 15:12:00] "GET /static/scripts/workflow2.0/taskPool.js HTTP/1.1" 200 -
[2017-02-08 15:12:00] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-44 output msg: 127.0.0.1 - - [08/Feb/2017 15:12:00] "GET /static/scripts/workflow2.0/wf.fileUpload.js HTTP/1.1" 200 -
[2017-02-08 15:12:00] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-45 output msg: 127.0.0.1 - - [08/Feb/2017 15:12:00] "GET /static/app/DiagnosisEngine/scripts/diagnosisConfig/animController.js HTTP/1.1" 200 -
[2017-02-08 15:12:00] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-47 output msg: 127.0.0.1 - - [08/Feb/2017 15:12:00] "GET /static/app/DiagnosisEngine/scripts/diagnosisConfig/equipmentScreen.js HTTP/1.1" 200 -
[2017-02-08 15:12:00] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-46 output msg: 127.0.0.1 - - [08/Feb/2017 15:12:00] "GET /static/app/DiagnosisEngine/scripts/diagnosisConfig/diagnosisConfigScreen.js HTTP/1.1" 200 -
[2017-02-08 15:12:00] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-48 output msg: 127.0.0.1 - - [08/Feb/2017 15:12:00] "GET /static/app/WebFactory/scripts/screens/report/config/chartThemeConfig.js HTTP/1.1" 200 -
[2017-02-08 15:12:00] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-49 output msg: 127.0.0.1 - - [08/Feb/2017 15:12:00] "GET /static/app/WebFactory/scripts/screens/report/mixins/variableProcessMixin.js HTTP/1.1" 200 -
[2017-02-08 15:12:00] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-50 output msg: 127.0.0.1 - - [08/Feb/2017 15:12:00] "GET /static/app/WebFactory/scripts/screens/report/components/component.js HTTP/1.1" 200 -
[2017-02-08 15:12:00] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-52 output msg: 127.0.0.1 - - [08/Feb/2017 15:12:00] "GET /static/app/WebFactory/scripts/screens/report/components/container/container.js HTTP/1.1" 200 -
[2017-02-08 15:12:00] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-53 output msg: 127.0.0.1 - - [08/Feb/2017 15:12:00] "GET /static/app/WebFactory/scripts/screens/report/components/reportContainer/reportContainer.js HTTP/1.1" 200 -
[2017-02-08 15:12:00] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-54 output msg: 127.0.0.1 - - [08/Feb/2017 15:12:00] "GET /static/app/WebFactory/scripts/screens/report/components/chapterContainer/chapterContainer.js HTTP/1.1" 200 -
[2017-02-08 15:12:00] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-51 output msg: 127.0.0.1 - - [08/Feb/2017 15:12:00] "GET /static/app/WebFactory/scripts/screens/report/components/base.js HTTP/1.1" 200 -
[2017-02-08 15:12:00] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-55 output msg: 127.0.0.1 - - [08/Feb/2017 15:12:00] "GET /static/app/WebFactory/scripts/screens/report/components/chart/chart.js HTTP/1.1" 200 -
[2017-02-08 15:12:00] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-56 output msg: 127.0.0.1 - - [08/Feb/2017 15:12:00] "GET /static/app/WebFactory/scripts/screens/report/components/text/text.js HTTP/1.1" 200 -
