[2017-02-08 15:16:04] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: MainThread output msg:  * Running on http://0.0.0.0:80/ (Press CTRL+C to quit)
[2017-02-08 15:16:11] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: MainThread output msg:  * Running on http://0.0.0.0:80/ (Press CTRL+C to quit)
[2017-02-08 15:16:18] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-1 output msg: 127.0.0.1 - - [08/Feb/2017 15:16:18] "GET /observer HTTP/1.1" 200 -
[2017-02-08 15:16:19] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-7 output msg: 127.0.0.1 - - [08/Feb/2017 15:16:19] "GET /static/content/index-black.css?=1486538179286 HTTP/1.1" 200 -
[2017-02-08 15:16:20] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-9 output msg: 127.0.0.1 - - [08/Feb/2017 15:16:20] "GET /static/views/js/i18n/zh.js?_=1486538179312 HTTP/1.1" 200 -
[2017-02-08 15:16:20] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-10 output msg: 127.0.0.1 - - [08/Feb/2017 15:16:20] "GET /static/scripts/lib/codemirror/lib/codemirror.js?_=1486538179313 HTTP/1.1" 200 -
[2017-02-08 15:16:20] --- levelname:INFO filename: I18n.py funcName:_load_resource outputNumber: [38]  thread: Thread-11 output msg: 加载国际化文件E:\BEOPWebTest\20161221\beopWeb\mod_common\locale\zh-CN.ini
[2017-02-08 15:16:21] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-13 output msg: 127.0.0.1 - - [08/Feb/2017 15:16:21] "GET /static/scripts/lib/codemirror/addon/hint/show-hint.js?_=1486538179314 HTTP/1.1" 200 -
[2017-02-08 15:16:21] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-8 output msg: 127.0.0.1 - - [08/Feb/2017 15:16:21] "POST /workflow/listTodayTasks HTTP/1.1" 200 -
[2017-02-08 15:16:21] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-11 output msg: 127.0.0.1 - - [08/Feb/2017 15:16:21] "GET /get_plant_pagedetails/49/1608 HTTP/1.1" 200 -
[2017-02-08 15:16:21] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-14 output msg: 127.0.0.1 - - [08/Feb/2017 15:16:21] "GET /static/scripts/lib/codemirror/addon/display/fullscreen.js?_=1486538179315 HTTP/1.1" 200 -
[2017-02-08 15:16:22] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-15 output msg: 127.0.0.1 - - [08/Feb/2017 15:16:22] "GET /static/scripts/lib/codemirror/mode/python/python.js?_=1486538179316 HTTP/1.1" 200 -
[2017-02-08 15:16:22] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-16 output msg: 127.0.0.1 - - [08/Feb/2017 15:16:22] "GET /static/app/CxTool/scripts/template.js?_=1486538179317 HTTP/1.1" 200 -
[2017-02-08 15:16:22] --- levelname:INFO filename: I18n.py funcName:_load_resource outputNumber: [38]  thread: Thread-17 output msg: 加载国际化文件E:\BEOPWebTest\20161221\beopWeb\mod_common\locale\zh-CN.ini
[2017-02-08 15:16:22] --- levelname:INFO filename: I18n.py funcName:_load_resource outputNumber: [38]  thread: Thread-18 output msg: 加载国际化文件E:\BEOPWebTest\20161221\beopWeb\mod_common\locale\zh-CN.ini
[2017-02-08 15:16:22] --- levelname:INFO filename: I18n.py funcName:_load_resource outputNumber: [38]  thread: Thread-19 output msg: 加载国际化文件E:\BEOPWebTest\20161221\beopWeb\mod_common\locale\zh-CN.ini
[2017-02-08 15:16:22] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-19 output msg: 127.0.0.1 - - [08/Feb/2017 15:16:22] "GET /getExpertContainerUrl HTTP/1.1" 200 -
[2017-02-08 15:16:22] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-20 output msg: 127.0.0.1 - - [08/Feb/2017 15:16:22] "GET /static/images/favicon.ico HTTP/1.1" 200 -
[2017-02-08 15:16:22] --- levelname:INFO filename: I18n.py funcName:_load_resource outputNumber: [38]  thread: Thread-21 output msg: 加载国际化文件E:\BEOPWebTest\20161221\beopWeb\mod_common\locale\zh-CN.ini
[2017-02-08 15:16:23] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-22 output msg: 127.0.0.1 - - [08/Feb/2017 15:16:23] "GET /undefined HTTP/1.1" 404 -
[2017-02-08 15:16:23] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-18 output msg: 127.0.0.1 - - [08/Feb/2017 15:16:23] "POST /tag/getThingTree HTTP/1.1" 200 -
[2017-02-08 15:16:23] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-21 output msg: 127.0.0.1 - - [08/Feb/2017 15:16:23] "POST /api/errorlog/countoflog HTTP/1.1" 200 -
[2017-02-08 15:16:23] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-17 output msg: 127.0.0.1 - - [08/Feb/2017 15:16:23] "POST /cloudDiagnosis/getCustomDiagnosis/tree HTTP/1.1" 200 -
[2017-02-08 15:16:24] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-12 output msg: 127.0.0.1 - - [08/Feb/2017 15:16:24] "POST /message/api/v1/queryUserMessage HTTP/1.1" 200 -
[2017-02-08 15:16:25] --- levelname:INFO filename: I18n.py funcName:_load_resource outputNumber: [38]  thread: Thread-23 output msg: 加载国际化文件E:\BEOPWebTest\20161221\beopWeb\mod_common\locale\zh-CN.ini
[2017-02-08 15:16:26] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-23 output msg: 127.0.0.1 - - [08/Feb/2017 15:16:26] "POST /cloudDiagnosis/getCustomDiagnosis/tree HTTP/1.1" 200 -
[2017-02-08 15:16:32] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-25 output msg: 127.0.0.1 - - [08/Feb/2017 15:16:32] "POST /localhostdiagnosis/onlinetest HTTP/1.1" 404 -
[2017-02-08 15:17:24] --- levelname:INFO filename: _internal.py funcName:_log outputNumber: [87]  thread: Thread-27 output msg: 127.0.0.1 - - [08/Feb/2017 15:17:24] "POST /workflow/listTodayTasks HTTP/1.1" 200 -
